YEAR,WEEK,% WEIGHTED ILI
2014,1,4.28195
2014,2,3.56288
2014,3,3.36378
2014,4,3.39659
2014,5,3.11922
2014,6,2.83572
2014,7,2.48484
2014,8,2.2741
2014,9,2.07244
2014,10,1.98207
2014,11,1.82441
2014,12,1.82036
2014,13,1.75391
2014,14,1.74542
2014,15,1.67236
2014,16,1.51659
2014,17,1.44778
2014,18,1.29028
2014,19,1.37388
2014,20,1.34208
2014,21,1.34563
2014,22,1.21291
2014,23,1.19291
2014,24,1.14146
2014,25,1.06503
2014,26,1.12669
2014,27,0.947353
2014,28,0.944187
2014,29,0.934822
2014,30,0.81736
2014,31,0.852792
2014,32,0.746994
2014,33,0.761098
2014,34,0.767627
2014,35,0.862176
2014,36,0.984907
2014,37,1.16287
2014,38,1.22731
2014,39,1.2071
2014,40,1.16191
2014,41,1.30905
2014,42,1.37072
2014,43,1.43373
2014,44,1.42791
2014,45,1.61605
2014,46,1.65976
2014,47,2.05459
2014,48,2.53541
2014,49,2.54253
2014,50,3.60563
2014,51,4.90976
2014,52,5.98221
2014,53,5.47421
2015,1,4.21374
2015,2,4.21022
2015,3,4.25968
2015,4,3.97761
2015,5,3.63443
2015,6,3.26527
2015,7,2.93083
2015,8,2.54474
2015,9,2.47227
2015,10,2.35665
2015,11,2.17008
2015,12,2.04297
2015,13,1.954
2015,14,1.72287
2015,15,1.53694
2015,16,1.38283
2015,17,1.46265
2015,18,1.38934
2015,19,1.3468
2015,20,1.25452
2015,21,1.21636
2015,22,1.16734
2015,23,1.04654
2015,24,0.943661
2015,25,0.935046
2015,26,0.934726
2015,27,0.864118
2015,28,0.806535
2015,29,0.742747
2015,30,0.737859
2015,31,0.743224
2015,32,0.805251
2015,33,0.816943
2015,34,0.814518
2015,35,0.86067
2015,36,0.886704
2015,37,1.00845
2015,38,1.06625
2015,39,1.05995
2015,40,1.22559
2015,41,1.31066
2015,42,1.3711
2015,43,1.39171
2015,44,1.43712
2015,45,1.50165
2015,46,1.59805
2015,47,1.89668
2015,48,1.67728
2015,49,1.78296
2015,50,1.87336
2015,51,2.32148
2015,52,2.40991
2016,1,1.94328
2016,2,1.99796
2016,3,2.11829
2016,4,2.25112
2016,5,2.37116
2016,6,2.80035
2016,7,3.16475
2016,8,3.15183
2016,9,3.3321
2016,10,3.56024
2016,11,3.05479
2016,12,2.76732
2016,13,2.44161
2016,14,2.03348
2016,15,1.98593
2016,16,1.91514
2016,17,1.69968
2016,18,1.57635
2016,19,1.3935
2016,20,1.29941
2016,21,1.18379
2016,22,1.13723
2016,23,1.04118
2016,24,0.971814
2016,25,0.863306
2016,26,0.833797
2016,27,0.784516
2016,28,0.734327
2016,29,0.698845
2016,30,0.723099
2016,31,0.663501
2016,32,0.69276
2016,33,0.710029
2016,34,0.834232
2016,35,0.992621
2016,36,1.01605
2016,37,1.07169
2016,38,1.10163
2016,39,1.18841
2016,40,1.2019
2016,41,1.23108
2016,42,1.26796
2016,43,1.36298
2016,44,1.48535
2016,45,1.55954
2016,46,1.64783
2016,47,1.91275
2016,48,1.81725
2016,49,1.91433
2016,50,2.21003
2016,51,2.73568
2016,52,3.36832
2017,1,3.09689
2017,2,3.07346
2017,3,3.51643
2017,4,3.8027
2017,5,4.50313
2017,6,5.06308
2017,7,4.86009
2017,8,4.57916
2017,9,3.55674
2017,10,3.50417
2017,11,3.21511
2017,12,3.10088
2017,13,2.79056
2017,14,2.38547
2017,15,1.9703
2017,16,1.73442
2017,17,1.56303
2017,18,1.4128
2017,19,1.27492
2017,20,1.2834
2017,21,1.16663
2017,22,1.10977
2017,23,1.04333
2017,24,0.905151
2017,25,0.902718
2017,26,0.859531
2017,27,0.818998
2017,28,0.752505
2017,29,0.731146
2017,30,0.733295
2017,31,0.73102
2017,32,0.68834
2017,33,0.732049
2017,34,0.911188
2017,35,1.02105
2017,36,1.09495
2017,37,1.09475
2017,38,1.09775
2017,39,1.18882
2017,40,1.26682
2017,41,1.30662
2017,42,1.34866
2017,43,1.51871
2017,44,1.74793
2017,45,1.87047
2017,46,2.06674
2017,47,2.28188
2017,48,2.28528
2017,49,2.5848
2017,50,3.36711
2017,51,4.71836
2017,52,5.72036
2018,1,5.77543
2018,2,5.9083
2018,3,6.49095
2018,4,7.17799
2018,5,7.52851
2018,6,7.38424
2018,7,6.46068
2018,8,4.95341
2018,9,3.67274
2018,10,3.2037
2018,11,2.78869
2018,12,2.50234
2018,13,2.41065
2018,14,2.07542
2018,15,1.78234
2018,16,1.61608
2018,17,1.53992
2018,18,1.53115
2018,19,1.29599
2018,20,1.18904
2018,21,1.24941
2018,22,1.14134
2018,23,0.988567
2018,24,0.895433
2018,25,0.892227
2018,26,0.877636
2018,27,0.77502
2018,28,0.725956
2018,29,0.68266
2018,30,0.640527
2018,31,0.64106
2018,32,0.706465
2018,33,0.708668
2018,34,0.825743
2018,35,0.864409
2018,36,1.10114
2018,37,1.15244
2018,38,1.20257
2018,39,1.25033
2018,40,1.41846
2018,41,1.40418
2018,42,1.47401
2018,43,1.64257
2018,44,1.79275
2018,45,1.87043
2018,46,1.98387
2018,47,2.24169
2018,48,2.14883
2018,49,2.25531
2018,50,2.64571
2018,51,3.14075
2018,52,3.97127
