date,/m/0cycc,isPartial
2014-01-05,35,False
2014-01-12,32,False
2014-01-19,26,False
2014-01-26,21,False
2014-02-02,15,False
2014-02-09,12,False
2014-02-16,11,False
2014-02-23,9,False
2014-03-02,8,False
2014-03-09,8,False
2014-03-16,7,False
2014-03-23,7,False
2014-03-30,7,False
2014-04-06,7,False
2014-04-13,6,False
2014-04-20,6,False
2014-04-27,5,False
2014-05-04,5,False
2014-05-11,4,False
2014-05-18,4,False
2014-05-25,4,False
2014-06-01,4,False
2014-06-08,3,False
2014-06-15,3,False
2014-06-22,3,False
2014-06-29,3,False
2014-07-06,3,False
2014-07-13,3,False
2014-07-20,3,False
2014-07-27,3,False
2014-08-03,4,False
2014-08-10,3,False
2014-08-17,4,False
2014-08-24,5,False
2014-08-31,6,False
2014-09-07,9,False
2014-09-14,11,False
2014-09-21,13,False
2014-09-28,16,False
2014-10-05,20,False
2014-10-12,23,False
2014-10-19,20,False
2014-10-26,16,False
2014-11-02,15,False
2014-11-09,13,False
2014-11-16,12,False
2014-11-23,10,False
2014-11-30,15,False
2014-12-07,18,False
2014-12-14,25,False
2014-12-21,29,False
2014-12-28,33,False
2015-01-04,29,False
2015-01-11,24,False
2015-01-18,22,False
2015-01-25,19,False
2015-02-01,15,False
2015-02-08,13,False
2015-02-15,13,False
2015-02-22,12,False
2015-03-01,11,False
2015-03-08,10,False
2015-03-15,9,False
2015-03-22,9,False
2015-03-29,8,False
2015-04-05,8,False
2015-04-12,9,False
2015-04-19,8,False
2015-04-26,6,False
2015-05-03,6,False
2015-05-10,6,False
2015-05-17,6,False
2015-05-24,5,False
2015-05-31,5,False
2015-06-07,5,False
2015-06-14,4,False
2015-06-21,3,False
2015-06-28,3,False
2015-07-05,3,False
2015-07-12,3,False
2015-07-19,3,False
2015-07-26,3,False
2015-08-02,3,False
2015-08-09,3,False
2015-08-16,4,False
2015-08-23,5,False
2015-08-30,6,False
2015-09-06,7,False
2015-09-13,9,False
2015-09-20,12,False
2015-09-27,14,False
2015-10-04,18,False
2015-10-11,17,False
2015-10-18,16,False
2015-10-25,15,False
2015-11-01,14,False
2015-11-08,12,False
2015-11-15,11,False
2015-11-22,9,False
2015-11-29,10,False
2015-12-06,10,False
2015-12-13,9,False
2015-12-20,9,False
2015-12-27,9,False
2016-01-03,10,False
2016-01-10,9,False
2016-01-17,10,False
2016-01-24,10,False
2016-01-31,10,False
2016-02-07,11,False
2016-02-14,14,False
2016-02-21,15,False
2016-02-28,15,False
2016-03-06,16,False
2016-03-13,13,False
2016-03-20,12,False
2016-03-27,11,False
2016-04-03,9,False
2016-04-10,8,False
2016-04-17,9,False
2016-04-24,7,False
2016-05-01,6,False
2016-05-08,5,False
2016-05-15,5,False
2016-05-22,6,False
2016-05-29,5,False
2016-06-05,4,False
2016-06-12,3,False
2016-06-19,3,False
2016-06-26,3,False
2016-07-03,3,False
2016-07-10,3,False
2016-07-17,3,False
2016-07-24,3,False
2016-07-31,3,False
2016-08-07,3,False
2016-08-14,4,False
2016-08-21,5,False
2016-08-28,6,False
2016-09-04,8,False
2016-09-11,10,False
2016-09-18,11,False
2016-09-25,14,False
2016-10-02,16,False
2016-10-09,15,False
2016-10-16,15,False
2016-10-23,14,False
2016-10-30,13,False
2016-11-06,11,False
2016-11-13,12,False
2016-11-20,10,False
2016-11-27,12,False
2016-12-04,13,False
2016-12-11,12,False
2016-12-18,14,False
2016-12-25,18,False
2017-01-01,19,False
2017-01-08,19,False
2017-01-15,19,False
2017-01-22,19,False
2017-01-29,24,False
2017-02-05,27,False
2017-02-12,26,False
2017-02-19,24,False
2017-02-26,18,False
2017-03-05,17,False
2017-03-12,15,False
2017-03-19,15,False
2017-03-26,14,False
2017-04-02,12,False
2017-04-09,10,False
2017-04-16,9,False
2017-04-23,8,False
2017-04-30,7,False
2017-05-07,7,False
2017-05-14,6,False
2017-05-21,6,False
2017-05-28,6,False
2017-06-04,6,False
2017-06-11,5,False
2017-06-18,5,False
2017-06-25,5,False
2017-07-02,4,False
2017-07-09,5,False
2017-07-16,4,False
2017-07-23,4,False
2017-07-30,5,False
2017-08-06,5,False
2017-08-13,5,False
2017-08-20,6,False
2017-08-27,7,False
2017-09-03,9,False
2017-09-10,11,False
2017-09-17,13,False
2017-09-24,17,False
2017-10-01,18,False
2017-10-08,17,False
2017-10-15,18,False
2017-10-22,18,False
2017-10-29,17,False
2017-11-05,17,False
2017-11-12,15,False
2017-11-19,11,False
2017-11-26,14,False
2017-12-03,19,False
2017-12-10,22,False
2017-12-17,31,False
2017-12-24,39,False
2017-12-31,44,False
2018-01-07,64,False
2018-01-14,83,False
2018-01-21,98,False
2018-01-28,100,False
2018-02-04,85,False
2018-02-11,74,False
2018-02-18,45,False
2018-02-25,29,False
2018-03-04,21,False
2018-03-11,17,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,12,False
2018-04-08,11,False
2018-04-15,9,False
2018-04-22,8,False
2018-04-29,7,False
2018-05-06,6,False
2018-05-13,5,False
2018-05-20,5,False
2018-05-27,5,False
2018-06-03,5,False
2018-06-10,5,False
2018-06-17,4,False
2018-06-24,4,False
2018-07-01,4,False
2018-07-08,4,False
2018-07-15,4,False
2018-07-22,4,False
2018-07-29,4,False
2018-08-05,4,False
2018-08-12,5,False
2018-08-19,6,False
2018-08-26,7,False
2018-09-02,10,False
2018-09-09,12,False
2018-09-16,14,False
2018-09-23,18,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,28,False
2018-10-21,25,False
2018-10-28,22,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,14,False
2018-11-25,16,False
2018-12-02,14,False
2018-12-09,15,False
2018-12-16,18,False
2018-12-23,22,False
2018-12-30,24,False
