,economy,Country,IT.NET.USER.ZS,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,internet_user
5,VNM,Viet Nam,45.0,9311.40752526381,92191398.0,41486129.1
8,UZB,Uzbekistan,42.8,6697.92261915884,31298900.0,13395929.2
10,USA,United States,74.5542,64599.5737360527,320738994.0,239124391.064748
11,GBR,United Kingdom,92.0003,51776.2489852598,65116219.0,59907116.828657
12,ARE,United Arab Emirates,90.5,66992.2401452914,8916899.0,8069793.595
13,UKR,Ukraine,48.8846,15625.728515625,45167350.0,22079878.3781
18,TUR,Turkiye,53.745,25992.3031106142,78218479.0,42038521.53855
19,TUN,Tunisia,46.5,12518.4249446467,11557779.0,5374367.235
24,THA,Thailand,39.3161,18877.266477188,70294397.0,27637015.418916997
25,TZA,Tanzania,10.0,3080.54125976563,52542823.0,5254282.3
27,SYR,Syrian Arab Republic,29.9798,3356.10291864307,19205178.0,5757673.954044
28,CHE,Switzerland,87.4791,77257.6823334422,8282396.0,7245365.479236001
29,SWE,Sweden,90.6102,59593.8590288814,9799186.0,8879062.032972
37,ESP,Spain,78.6896,42567.3662619036,46444832.0,36547252.521472
39,ZAF,South Africa,51.9191,14756.3512068385,55876504.0,29010577.988264
50,SAU,Saudi Arabia,69.6162,48237.3376243595,32749848.0,22799199.683376003
55,RUS,Russian Federation,70.0992,35393.5703125,144640716.0,101391984.79027198
56,ROU,Romania,55.7632,29364.654468375,19815616.0,11049821.581311999
59,PRT,Portugal,68.6329,35880.1447180237,10358076.0,7109047.943004
60,POL,Poland,67.997,32037.1964182248,37986412.0,25829620.56764
61,PHL,Philippines,36.9,7862.09698774509,103031365.0,38018573.685
62,PER,Peru,40.8526,14424.9601774774,30711863.0,12546594.543938
67,PAK,Pakistan,11.0,4784.47989262543,210969298.0,23206622.78
69,NOR,Norway,96.8103,85766.6127003775,5188607.0,5023106.002521
72,NGA,Nigeria,22.5,6202.2571886413,183995785.0,41399051.625
77,NLD,Netherlands,91.7241,62544.9131401361,16939923.0,15537991.912443
81,MMR,Myanmar,10.9,5273.1275053421,51483949.0,5611750.441000001
83,MAR,Morocco,57.08,8178.86572265625,34680458.0,19795605.4264
89,MEX,Mexico,57.431,21871.1527211862,120149897.0,69003287.34606999
96,MYS,Malaysia,71.0641,27854.132643338,31068833.0,22078786.551953003
112,KOR,"Korea, Rep.",89.8963,42593.0088732759,51014947.0,45860549.79996099
115,KEN,Kenya,16.5879,4703.29766544415,46851488.0,7771677.977952001
116,KAZ,Kazakhstan,70.8299,31847.1268264596,17542806.0,12425551.946994
117,JOR,Jordan,54.22,9632.6373366873,9494246.0,5147780.1812
118,JPN,Japan,91.058,43624.9274527151,127141000.0,115772051.78
120,ITA,Italy,58.1417,47189.2921617744,60730582.0,35309792.794694
121,ISR,Israel,77.3521,40960.5991373656,8380100.0,6482183.332099999
124,IRQ,Iraq,15.2,13445.4083096921,37757813.0,5739187.576
125,IRN,"Iran, Islamic Rep.",45.335,14046.0482759251,81790841.0,37079877.76735
126,IDN,Indonesia,22.0627,11007.491125108,259091970.0,57162684.06519
127,IND,India,14.9,6513.44397994147,1322866505.0,197107109.245
129,HUN,Hungary,72.8347,31665.2277789474,9843028.0,7169139.914716
130,HKG,"Hong Kong SAR, China",84.9484,62779.794080864,7291300.0,6193842.689200001
140,GRC,Greece,66.835,31491.0356633333,10820883.0,7232137.15305
142,GHA,Ghana,23.0,5573.40259245339,28870939.0,6640315.97
143,DEU,Germany,87.5898,59345.4556245657,81686611.0,71549139.201678
148,FRA,France,78.006,51923.3890466441,66548272.0,51911645.05632
152,ETH,Ethiopia,13.8552,1984.06626588034,102471895.0,14197685.996040002
158,EGY,"Egypt, Arab Rep.",37.8194,13683.3111158421,97723799.0,36958554.439006
159,ECU,Ecuador,48.9404,13924.6876477756,16195902.0,7926339.222407999
160,DOM,Dominican Republic,54.2158,17826.5487635835,10405832.0,5641605.065456
163,DNK,Denmark,96.3305,62855.3667574151,5683483.0,5474927.591315
164,CZE,Czechia,75.6688,42980.2448107455,10546059.0,7980076.292592001
169,CIV,Cote d'Ivoire,38.44,5468.1525838592,23596741.0,9070587.2404
174,COL,Colombia,55.905,17073.6590145909,47119728.0,26342283.9384
175,CHN,China,50.3,14575.9347897624,1379860000.0,694069580.0
176,CHL,Chile,76.6296,28097.5405168588,17870124.0,13693804.540704
181,CAN,Canada,90.0,54819.1890353874,35704498.0,32134048.2
190,BRA,Brazil,58.328,18042.8093773062,205188205.0,119682176.2124
198,BEL,Belgium,85.0529,58871.0652854142,11274196.0,9589030.649683999
199,BLR,Belarus,62.2304,25513.185299818,9461076.0,5887665.439104
201,BGD,Bangladesh,12.9,5405.38648243157,157830000.0,20360070.0
204,AZE,Azerbaijan,77.0,20694.7787550356,9649341.0,7429992.57
205,AUT,Austria,83.9401,62309.3942698872,8642699.0,7254690.183299
206,AUS,Australia,84.5605,55015.2964787314,23815995.0,20138924.451975003
209,ARG,Argentina,68.0431,28905.7613481314,43131966.0,29348326.757345997
211,AGO,Angola,22.0,9991.60250008936,28127721.0,6188098.62
214,DZA,Algeria,38.2,15425.9405212783,39543154.0,15105484.828000002
